"","Date","IsHoliday","Dept","Weekly_Sales","Temperature","Fuel_Price","CPI","Unemployment","week_of_year","month_of_year","year"
"1",2010-02-05,FALSE,1,24924.5,42.31,2.572,211.0963582,8.106,6,2,2010
"2",2010-02-05,FALSE,26,11737.12,42.31,2.572,211.0963582,8.106,6,2,2010
"3",2010-02-05,FALSE,17,13223.76,42.31,2.572,211.0963582,8.106,6,2,2010
"4",2010-02-05,FALSE,45,37.44,42.31,2.572,211.0963582,8.106,6,2,2010
"5",2010-02-05,FALSE,28,1085.29,42.31,2.572,211.0963582,8.106,6,2,2010
"6",2010-02-05,FALSE,79,46729.77,42.31,2.572,211.0963582,8.106,6,2,2010
"7",2010-02-05,FALSE,55,21249.31,42.31,2.572,211.0963582,8.106,6,2,2010
"8",2010-02-05,FALSE,5,32229.38,42.31,2.572,211.0963582,8.106,6,2,2010
"9",2010-02-05,FALSE,58,7659.97,42.31,2.572,211.0963582,8.106,6,2,2010
"10",2010-02-05,FALSE,7,21084.08,42.31,2.572,211.0963582,8.106,6,2,2010
"11",2010-02-05,FALSE,83,5711.19,42.31,2.572,211.0963582,8.106,6,2,2010
"12",2010-02-05,FALSE,9,16930.99,42.31,2.572,211.0963582,8.106,6,2,2010
"13",2010-02-05,FALSE,87,35972.49,42.31,2.572,211.0963582,8.106,6,2,2010
"14",2010-02-05,FALSE,34,14350.83,42.31,2.572,211.0963582,8.106,6,2,2010
"15",2010-02-05,FALSE,19,1947.05,42.31,2.572,211.0963582,8.106,6,2,2010
"16",2010-02-05,FALSE,52,3508.04,42.31,2.572,211.0963582,8.106,6,2,2010
"17",2010-02-05,FALSE,74,12251.94,42.31,2.572,211.0963582,8.106,6,2,2010
"18",2010-02-05,FALSE,38,115564.35,42.31,2.572,211.0963582,8.106,6,2,2010
"19",2010-02-05,FALSE,93,64494.87,42.31,2.572,211.0963582,8.106,6,2,2010
"20",2010-02-05,FALSE,23,24146.49,42.31,2.572,211.0963582,8.106,6,2,2010
"21",2010-02-05,FALSE,16,10217.55,42.31,2.572,211.0963582,8.106,6,2,2010
